"""c""",area,b/p,base,base ca,col_1,col_10,col_11,col_12,col_14,col_15,col_16,col_2,col_3,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_5,col_6,col_7,col_8,col_9,description,dia,dist.,dn strm,downstream_node,extraction_method,f/s,freebrd,headloss,hgl,hl,i,inlet,jct,jct area,junction_type,keystroke,length,location,macro or dialog box,mca,modules,name,pipe_id,q,r/g,slope,source_row,source_sheet,t/c,t/p,t/t,tc,upstream_node,userforms,vel,worksheet formulas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,0,hydraulics_structured_table,,,0.41462923014095965,,,,,,,OUTFALL,,236.0,,,,,,77-0,82.42653040842968,,0.0017569035175464393,11,HYDRAULICS,,,,,77,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,77,hydraulics_structured_table,,,0.7310432622073545,,,,,,,ANGLE POINT,,408.0,,,,,,75-77,83.24046949117403,,0.001791772701488614,14,HYDRAULICS,,,,,75,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,75,hydraulics_structured_table,,,1.806106883100523,,,,,,,ANGLE POINT,,1008.0,,,,,,74-75,83.24046949117403,,0.001791772701488614,17,HYDRAULICS,,,,,74,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,74,hydraulics_structured_table,,,0.8242154426847624,,,,,,,SIDE BRANCH JCT,,460.0,,,,,,72-74,83.24046949117403,,0.001791772701488614,20,HYDRAULICS,,,,,72,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,72,hydraulics_structured_table,,,0.04837786294019258,,,,,,,,,27.0,,,,,,71.9-72,83.24046949117403,,0.001791772701488614,22,HYDRAULICS,,,,,71.9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,71.9,hydraulics_structured_table,,,0.5329800421013081,,,,,,,RIGHT ANGLE,,317.0,,,,,,71.1-71.9,80.63413019012404,,0.0016813250539473442,24,HYDRAULICS,,,,,71.1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,71.1,hydraulics_structured_table,,,1.594597323264447,,,,,,,SIDE BRANCH JCT,,960.0,,,,,,71-71.1,80.14620484667437,,0.0016610388784004657,26,HYDRAULICS,,,,,71,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,71,hydraulics_structured_table,,,1.9549464067998321,,,,,,,,,1195.0,,,,,,69-71,79.53834289434724,,0.001635938415732077,28,HYDRAULICS,,,,,69,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,69,hydraulics_structured_table,,,0.32185036088121094,,,,,,,SIDE BRANCH JCT,,209.0,,,,,,65.3-69,77.1697192748137,,0.0015399538798144064,30,HYDRAULICS,,,,,65.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,65.3,hydraulics_structured_table,,,0.2133343148010796,,,,,,,,,153.0,,,,,,65.1-65.3,73.43070645897349,,0.0013943419268044417,32,HYDRAULICS,,,,,65.1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,65.1,hydraulics_structured_table,,,1.7809560186765203,,,,,,,RIGHT ANGLE,,1237.0,,,,,,65-65.1,74.61648913293364,,0.001439738091088537,34,HYDRAULICS,,,,,65,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,65,hydraulics_structured_table,,,0.38347136372620355,,,,,,,,,330.0,,,,,,63-65,67.03514641180801,,0.0011620344355339502,38,HYDRAULICS,,,,,63,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,63,hydraulics_structured_table,,,0.7175474018950991,,,,,,,SIDE BRANCH JCT,,619.0,,,,,,62-63,66.95346178853177,,0.0011592042033846512,40,HYDRAULICS,,,,,62,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,62,hydraulics_structured_table,,,0.41319500689199845,,,,,,,SIDE BRANCH JCT,,420.0,,,,,,57-62,61.68022516348307,,0.0009837976354571392,42,HYDRAULICS,,,,,57,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,57,hydraulics_structured_table,,,0.03993761090021091,,,,,,,,,45.0,,,,,,54-57,58.583841627474506,,0.0008875024644491314,44,HYDRAULICS,,,,,54,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,54,hydraulics_structured_table,,,0.7732793806902434,,,,,,,,,496.0,,,,,,53-54,56.717060377562504,,0.0015590310094561357,46,HYDRAULICS,,,,,53,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,53,hydraulics_structured_table,,,0.7600053832093342,,,,,,,SIDE BRANCH JCT,,538.0,,,,,,51-53,53.98878241118165,,0.0014126494111697662,48,HYDRAULICS,,,,,51,,,
