pdf_file,page,annot_type,rect_x0,rect_y0,rect_x1,rect_y1,contents,info_title,info_subject,info_content
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",505.0,972.0,516.0,979.0,,AutoCAD SHX Text,,1
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",509.0,889.0,520.0,899.0,,AutoCAD SHX Text,,3
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",505.0,951.0,516.0,960.0,,AutoCAD SHX Text,,2
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",458.0,914.0,470.0,923.0,,AutoCAD SHX Text,,6
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",428.0,934.0,439.0,943.0,,AutoCAD SHX Text,,5
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",410.0,950.0,421.0,960.0,,AutoCAD SHX Text,,4
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",439.0,880.0,450.0,895.0,,AutoCAD SHX Text,,6.1
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",395.0,868.0,406.0,877.0,,AutoCAD SHX Text,,9
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",394.0,901.0,405.0,911.0,,AutoCAD SHX Text,,7
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",416.0,892.0,427.0,906.0,,AutoCAD SHX Text,,7.1
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",449.0,858.0,460.0,867.0,,AutoCAD SHX Text,,8
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",382.0,851.0,393.0,862.0,,AutoCAD SHX Text,,11
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",431.0,838.0,443.0,852.0,,AutoCAD SHX Text,,12
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",418.0,814.0,429.0,828.0,,AutoCAD SHX Text,,13
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",486.0,794.0,497.0,807.0,,AutoCAD SHX Text,,16
