"""c""",(cfs),(fps),(ft),(ft/ft),(in),0.003042372881355911,0.5082000000000001,1180,20,32.108971468560014,4.5276000000000005,4.980360000000001,424.23,427.7,8,"8 mhd-r 1.1c=0.462/9.8 (t5613, upper half)",9.8,area,b/p,base,base ca,board,col_1,col_10,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_11,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_12,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_14,col_15,col_16,col_17,col_18,col_2,col_23,col_3,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_4,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_5,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_6,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69,col_7,col_70,col_71,col_72,col_73,col_74,col_75,col_76,col_77,col_78,col_79,col_8,col_80,col_81,col_82,col_83,col_84,col_85,col_86,col_87,col_88,col_89,col_9,col_90,col_91,col_92,col_93,col_94,col_95,col_96,col_97,col_98,col_99,delta fb,description,dia,dist.,dn strm,egl elev.,elev,f/s,freebrd,hgl,hgl elev.,hl,i,inlet,jct,jct area,jct.,keystroke,length,location,loss,losses,macro or dialog box,mca,mod.,modules,name,q,r/g,slope,soffit,soffit elev.,source_row,source_sheet,stream jct,t/c,t/p,t/t,t56013,tc,type,userforms,vel,worksheet formulas
,,,,,,,,,,,,,,,,,,,(Min),JCT CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(In),(Ft),,,,(Ft/Ft),(Ft),ELEV,,,(In/Hr),AREA,NO,,AREA,,(Ft),,(Ft),,,,JCT CA,,,(cfs),(Min),(Ft/Ft),ELEV,,8,HYDROLOGY,,(Min),(Min),(Min),,ELEV,,,(fps),
 ,,,,,,,,,,,,,,,,,,, ,3.3248,,,Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, ,,,,0.0006061951713871057,3.043848918757874,404.9561510812421,,,0.604431558224964, ,84,,10.39,,215,,0.13033196184822773,,,,3.9898,,,2.411561031005961, , , ,,258,HYDROLOGY,,37.03386678770889,2.625796014421643,34.40807077328724,,408.5,,,1.364665539003264,
0.7591240875912408,,,,,,,,,,,,,,,,,,,3.4932170415046064, ,,,Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,489,,,, , , ,,,1.451505881151761,1.37, ,, ,, ,, ,,,, ,,,1.5095661163978313,5,0.006278118609406939, ,,265,HYDROLOGY,, , ,8.493217041504607,, ,,, ,
0.6054054054054056,,,,,,,,,,,,,,,,,,,3.988062664206506, ,,,Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,478,,,, , , ,,,0.757618981769201,1.8499999999999999, ,, ,, ,, ,,,, ,,,0.8485332595815052,20,0.004602510460251022, ,,330,HYDROLOGY,, , ,23.988062664206506,, ,,, ,
 ,,,,,,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Replace 48""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,, , , ,,, , , ,, ,, ,, ,,,, ,,, , , , ,,419,HYDROLOGY,, , , ,, ,,, ,
0.5032679738562091,,,,,,,,,,,,,,,,,,,3.0199390802697788, ,,,Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,211,,,, , , ,,,0.7774172883167072,1.53, ,, ,, ,, ,,,, ,,,0.5986113120038645,20,0.001563981042653953, ,,431,HYDROLOGY,, , ,23.01993908026978,, ,,, ,
 ,,,,,,,,,,,,,,,,,,, ,4.08,,,Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, ,,,,0.0010801447644569798,7.815408594758253,390.38459140524174,,,0.6583004384860768, ,116,,9.71,,890,,0.9613288403667121,,,,4.89,,,3.219089144196915, , , ,,441,HYDROLOGY,,38.16564706598269,8.142875325386312,30.022771740596376,,398.7,,,1.8216333592986227,
 ,,,,,,,,,,,,,,,,,,, , ,,,Culvert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,, , , ,,, , , ,, ,, ,, ,,,, ,,, , , , ,,490,HYDROLOGY,, , , ,, ,,, ,
0.5,,,,,,,,,,,,,,,,,,,2.872655416701942, ,,,Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,303,,,, , , ,,,0.7805482935701595,1.14, ,, ,, ,, ,,,, ,,,0.44491252733499087,20,0.003564356435643512, ,,499,HYDROLOGY,, , ,22.872655416701942,, ,,, ,
 ,,,,,,,,,,,,,,,,,,, ,26.4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Factor:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,0.6310856439243753, ,159.1,,40.74,,,,,,,,29.129199999999997,,,18.383019939001912, , , ,,591,HYDROLOGY,,,,32.116773892921486,,,,,,
