record_index,source_tab,source_row,inlet_id_source_col,inlet_area_source_col,inlet_area_value,q_cfs,raw_inlet,raw_junction,canonical_inlet_id,receiving_junction_id,receiving_canonical_junction_id,canonical_swmm_node_id,system_id,match_method,confidence,evidence,confidence_tier
1.0,HYDROLOGY,258,C,D,,2.411561031005961, ,84,,84,J_84,J084,2,junction_reconciled,0.9,inlet_id=None|jct_id=84|source=HYDROLOGY/258,normalized_or_suffix
2.0,HYDROLOGY,265,C,D,1.37,1.5095661163978313,1.37, ,IN_99,86,J_86,J086,2,strict_hydrology_c_to_bridge;junction_reconciled,0.98,inlet_id=99|jct_id=86|source=HYDROLOGY/265,strict
3.0,HYDROLOGY,330,C,D,1.8499999999999999,0.8485332595815052,1.8499999999999999, ,IN_117_1,101,J_101,J101,2,strict_hydrology_c_to_bridge;junction_reconciled,0.98,inlet_id=117.1|jct_id=101|source=HYDROLOGY/330,strict
5.0,HYDROLOGY,431,C,D,1.53,0.5986113120038645,1.53, ,IN_137_1,114,J_114,J114,2,strict_hydrology_c_to_bridge;junction_reconciled,0.98,inlet_id=137.1|jct_id=114|source=HYDROLOGY/431,strict
6.0,HYDROLOGY,441,C,D,,3.219089144196915, ,116,,116,J_116,J116,2,junction_reconciled,0.9,inlet_id=None|jct_id=116|source=HYDROLOGY/441,normalized_or_suffix
8.0,HYDROLOGY,499,C,D,1.14,0.44491252733499087,1.14, ,IN_165,136,J_136,J136,5,strict_hydrology_c_to_bridge;junction_reconciled,0.98,inlet_id=165|jct_id=136|source=HYDROLOGY/499,strict
9.0,HYDROLOGY,591,C,D,,18.383019939001912, ,159.1,,159.1,J_159_1,J159_1,6,junction_reconciled,0.9,inlet_id=None|jct_id=159.1|source=HYDROLOGY/591,normalized_or_suffix
10.0,HYDROLOGY,652,C,D,,66.41241444747949, ,180,,180,J_180,J180,6,junction_reconciled,0.9,inlet_id=None|jct_id=180|source=HYDROLOGY/652,normalized_or_suffix
11.0,HYDROLOGY,660,C,D,,68.46090203343142, ,182,,182,J_182,J182,6,junction_reconciled,0.9,inlet_id=None|jct_id=182|source=HYDROLOGY/660,normalized_or_suffix
766.0,Formluas,33,,,,,1,4,IN_1,1,J_1,J001,1,strict_hydrology_c_to_bridge;junction_reconciled,0.98,inlet_id=1|jct_id=1|source=Formluas/33,strict
,HYDROLOGY,12,C,D,6.0,,2,1,IN_2,1,J_1,J001,1,strict_hydrology_c_to_bridge,0.95,bridge_row=12|typed_ids,strict
,HYDROLOGY,15,C,D,8.6,,3,2,IN_3,2,J_2,J002,1,strict_hydrology_c_to_bridge,0.95,bridge_row=15|typed_ids,strict
,HYDROLOGY,17,C,D,1.68,,5,3,IN_5,3,J_3,J003,1,strict_hydrology_c_to_bridge,0.95,bridge_row=17|typed_ids,strict
,HYDROLOGY,20,C,D,2.17,,6,4,IN_6,4,J_4,J004,1,strict_hydrology_c_to_bridge,0.95,bridge_row=20|typed_ids,strict
,HYDROLOGY,21,C,D,1.89,,6.1,4,IN_6_1,4,J_4,J004,1,strict_hydrology_c_to_bridge,0.95,bridge_row=21|typed_ids,strict
,HYDROLOGY,22,C,D,5.33,,7,4,IN_7,4,J_4,J004,1,strict_hydrology_c_to_bridge,0.95,bridge_row=22|typed_ids,strict
,HYDROLOGY,25,C,D,9.8,,8,5,IN_8,5,J_5,J005,1,strict_hydrology_c_to_bridge,0.95,bridge_row=25|typed_ids,strict
,HYDROLOGY,27,C,D,3.6,,9,6,IN_9,6,J_6,J006,1,strict_hydrology_c_to_bridge,0.95,bridge_row=27|typed_ids,strict
,HYDROLOGY,29,C,D,6.18,,10,6.1,IN_10,6.1,J_6_1,J6_1,1,strict_hydrology_c_to_bridge,0.95,bridge_row=29|typed_ids,strict
,HYDROLOGY,32,C,D,3.36,,11,7,IN_11,7,J_7,J007,1,strict_hydrology_c_to_bridge,0.95,bridge_row=32|typed_ids,strict
,HYDROLOGY,36,C,D,1.95,,12,8,IN_12,8,J_8,J008,1,strict_hydrology_c_to_bridge,0.95,bridge_row=36|typed_ids,strict
,HYDROLOGY,37,C,D,3.98,,13,8,IN_13,8,J_8,J008,1,strict_hydrology_c_to_bridge,0.95,bridge_row=37|typed_ids,strict
,HYDROLOGY,40,C,D,4.8,,15,11,IN_15,11,J_11,J011,1,strict_hydrology_c_to_bridge,0.95,bridge_row=40|typed_ids,strict
,HYDROLOGY,43,C,D,4.1,,16,12,IN_16,12,J_12,J012,1,strict_hydrology_c_to_bridge,0.95,bridge_row=43|typed_ids,strict
,HYDROLOGY,45,C,D,3.03,,17,13,IN_17,13,J_13,J013,1,strict_hydrology_c_to_bridge,0.95,bridge_row=45|typed_ids,strict
,HYDROLOGY,48,C,D,2.67,,18,14,IN_18,14,J_14,J014,1,strict_hydrology_c_to_bridge,0.95,bridge_row=48|typed_ids,strict
,HYDROLOGY,52,C,D,4.15,,19,16,IN_19,16,J_16,J016,1,strict_hydrology_c_to_bridge,0.95,bridge_row=52|typed_ids,strict
,HYDROLOGY,53,C,D,2.53,,20,16,IN_20,16,J_16,J016,1,strict_hydrology_c_to_bridge,0.95,bridge_row=53|typed_ids,strict
,HYDROLOGY,56,C,D,9.38,,21,17,IN_21,17,J_17,J017,1,strict_hydrology_c_to_bridge,0.95,bridge_row=56|typed_ids,strict
,HYDROLOGY,57,C,D,8.27,,22,17,IN_22,17,J_17,J017,1,strict_hydrology_c_to_bridge,0.95,bridge_row=57|typed_ids,strict
,HYDROLOGY,61,C,D,8.38,,23,19,IN_23,19,J_19,J019,1,strict_hydrology_c_to_bridge,0.95,bridge_row=61|typed_ids,strict
,HYDROLOGY,62,C,D,3.15,,24,19,IN_24,19,J_19,J019,1,strict_hydrology_c_to_bridge,0.95,bridge_row=62|typed_ids,strict
,HYDROLOGY,65,C,D,7.23,,25,21,IN_25,21,J_21,J021,1,strict_hydrology_c_to_bridge,0.95,bridge_row=65|typed_ids,strict
,HYDROLOGY,68,C,D,3.01,,26,22,IN_26,22,J_22,J022,1,strict_hydrology_c_to_bridge,0.95,bridge_row=68|typed_ids,strict
,HYDROLOGY,69,C,D,5.67,,27,22,IN_27,22,J_22,J022,1,strict_hydrology_c_to_bridge,0.95,bridge_row=69|typed_ids,strict
,HYDROLOGY,73,C,D,0.85,,28,24,IN_28,24,J_24,J024,1,strict_hydrology_c_to_bridge,0.95,bridge_row=73|typed_ids,strict
,HYDROLOGY,74,C,D,1.22,,29,24,IN_29,24,J_24,J024,1,strict_hydrology_c_to_bridge,0.95,bridge_row=74|typed_ids,strict
,HYDROLOGY,77,C,D,4.15,,30,26,IN_30,26,J_26,J026,1,strict_hydrology_c_to_bridge,0.95,bridge_row=77|typed_ids,strict
,HYDROLOGY,80,C,D,2.55,,30.1,26.1,IN_30_1,26.1,J_26_1,J26_1,1,strict_hydrology_c_to_bridge,0.95,bridge_row=80|typed_ids,strict
,HYDROLOGY,82,C,D,15.67,,31,27,IN_31,27,J_27,J027,1,strict_hydrology_c_to_bridge,0.95,bridge_row=82|typed_ids,strict
,HYDROLOGY,84,C,D,13.61,,32,27.1,IN_32,27.1,J_27_1,J27_1,1,strict_hydrology_c_to_bridge,0.95,bridge_row=84|typed_ids,strict
,HYDROLOGY,86,C,D,3.94,,33,28,IN_33,28,J_28,J028,1,strict_hydrology_c_to_bridge,0.95,bridge_row=86|typed_ids,strict
,HYDROLOGY,90,C,D,5.63,,34,30,IN_34,30,J_30,J030,1,strict_hydrology_c_to_bridge,0.95,bridge_row=90|typed_ids,strict
,HYDROLOGY,94,C,D,3.51,,35,32,IN_35,32,J_32,J032,1,strict_hydrology_c_to_bridge,0.95,bridge_row=94|typed_ids,strict
,HYDROLOGY,95,C,D,1.84,,36,32,IN_36,32,J_32,J032,1,strict_hydrology_c_to_bridge,0.95,bridge_row=95|typed_ids,strict
,HYDROLOGY,98,C,D,4.62,,37,33,IN_37,33,J_33,J033,1,strict_hydrology_c_to_bridge,0.95,bridge_row=98|typed_ids,strict
,HYDROLOGY,101,C,D,2.17,,38,35,IN_38,35,J_35,J035,1,strict_hydrology_c_to_bridge,0.95,bridge_row=101|typed_ids,strict
,HYDROLOGY,104,C,D,3.69,,39,36,IN_39,36,J_36,J036,1,strict_hydrology_c_to_bridge,0.95,bridge_row=104|typed_ids,strict
,HYDROLOGY,108,C,D,2.58,,40,38,IN_40,38,J_38,J038,1,strict_hydrology_c_to_bridge,0.95,bridge_row=108|typed_ids,strict
,HYDROLOGY,109,C,D,3.45,,41,38,IN_41,38,J_38,J038,1,strict_hydrology_c_to_bridge,0.95,bridge_row=109|typed_ids,strict
,HYDROLOGY,113,C,D,9.3,,42,40,IN_42,40,J_40,J040,1,strict_hydrology_c_to_bridge,0.95,bridge_row=113|typed_ids,strict
,HYDROLOGY,115,C,D,5.47,,43,41,IN_43,41,J_41,J041,1,strict_hydrology_c_to_bridge,0.95,bridge_row=115|typed_ids,strict
,HYDROLOGY,116,C,D,1.21,,43.1,41,IN_43_1,41,J_41,J041,1,strict_hydrology_c_to_bridge,0.95,bridge_row=116|typed_ids,strict
,HYDROLOGY,120,C,D,10.09,,44,43,IN_44,43,J_43,J043,1,strict_hydrology_c_to_bridge,0.95,bridge_row=120|typed_ids,strict
,HYDROLOGY,122,C,D,8.22,,45,44,IN_45,44,J_44,J044,1,strict_hydrology_c_to_bridge,0.95,bridge_row=122|typed_ids,strict
,HYDROLOGY,124,C,D,8.87,,46,45,IN_46,45,J_45,J045,1,strict_hydrology_c_to_bridge,0.95,bridge_row=124|typed_ids,strict
,HYDROLOGY,126,C,D,1.74,,47,46,IN_47,46,J_46,J046,1,strict_hydrology_c_to_bridge,0.95,bridge_row=126|typed_ids,strict
,HYDROLOGY,129,C,D,13.21,,48,47,IN_48,47,J_47,J047,1,strict_hydrology_c_to_bridge,0.95,bridge_row=129|typed_ids,strict
,HYDROLOGY,130,C,D,3.67,,49,47,IN_49,47,J_47,J047,1,strict_hydrology_c_to_bridge,0.95,bridge_row=130|typed_ids,strict
,HYDROLOGY,133,C,D,14.87,,50,49,IN_50,49,J_49,J049,1,strict_hydrology_c_to_bridge,0.95,bridge_row=133|typed_ids,strict
,HYDROLOGY,136,C,D,11.0,,51,50,IN_51,50,J_50,J050,1,strict_hydrology_c_to_bridge,0.95,bridge_row=136|typed_ids,strict
,HYDROLOGY,140,C,D,16.21,,52,52,IN_52,52,J_52,J052,1,strict_hydrology_c_to_bridge,0.95,bridge_row=140|typed_ids,strict
,HYDROLOGY,141,C,D,6.18,,52.1,52,IN_52_1,52,J_52,J052,1,strict_hydrology_c_to_bridge,0.95,bridge_row=141|typed_ids,strict
,HYDROLOGY,142,C,D,5.37,,53,52,IN_53,52,J_52,J052,1,strict_hydrology_c_to_bridge,0.95,bridge_row=142|typed_ids,strict
,HYDROLOGY,145,C,D,5.1,,54,54,IN_54,54,J_54,J054,1,strict_hydrology_c_to_bridge,0.95,bridge_row=145|typed_ids,strict
,HYDROLOGY,146,C,D,3.04,,55,54,IN_55,54,J_54,J054,1,strict_hydrology_c_to_bridge,0.95,bridge_row=146|typed_ids,strict
,HYDROLOGY,149,C,D,2.46,,56,55,IN_56,55,J_55,J055,1,strict_hydrology_c_to_bridge,0.95,bridge_row=149|typed_ids,strict
,HYDROLOGY,150,C,D,11.0,,56.1,55,IN_56_1,55,J_55,J055,1,strict_hydrology_c_to_bridge,0.95,bridge_row=150|typed_ids,strict
,HYDROLOGY,152,C,D,6.24,,57,57,IN_57,57,J_57,J057,1,strict_hydrology_c_to_bridge,0.95,bridge_row=152|typed_ids,strict
,HYDROLOGY,155,C,D,8.58,,60,61,IN_60,61,J_61,J061,1,strict_hydrology_c_to_bridge,0.95,bridge_row=155|typed_ids,strict
,HYDROLOGY,156,C,D,16.9,,61,61,IN_61,61,J_61,J061,1,strict_hydrology_c_to_bridge,0.95,bridge_row=156|typed_ids,strict
,HYDROLOGY,159,C,D,1.35,,62,63,IN_62,63,J_63,J063,1,strict_hydrology_c_to_bridge,0.95,bridge_row=159|typed_ids,strict
,HYDROLOGY,160,C,D,3.32,,63,63,IN_63,63,J_63,J063,1,strict_hydrology_c_to_bridge,0.95,bridge_row=160|typed_ids,strict
,HYDROLOGY,162,C,D,12.16,,66,65,IN_66,65,J_65,J065,1,strict_hydrology_c_to_bridge,0.95,bridge_row=162|typed_ids,strict
,HYDROLOGY,163,C,D,15.28,,67,65,IN_67,65,J_65,J065,1,strict_hydrology_c_to_bridge,0.95,bridge_row=163|typed_ids,strict
,HYDROLOGY,165,C,D,1.5,,74,65.1,IN_74,65.1,J_65_1,J65_1,1,strict_hydrology_c_to_bridge,0.95,bridge_row=165|typed_ids,strict
,HYDROLOGY,166,C,D,5.36,,75,65.1,IN_75,65.1,J_65_1,J65_1,1,strict_hydrology_c_to_bridge,0.95,bridge_row=166|typed_ids,strict
