junction_id,canonical_junction_id,canonical_swmm_node_id,source,match_method,confidence
0,J_0,J000,hydrology_hydraulics_union,typed_numeric_normalization,1.0
1,J_1,J001,hydrology_hydraulics_union,typed_numeric_normalization,1.0
2,J_2,J002,hydrology_hydraulics_union,typed_numeric_normalization,1.0
3,J_3,J003,hydrology_hydraulics_union,typed_numeric_normalization,1.0
4,J_4,J004,hydrology_hydraulics_union,typed_numeric_normalization,1.0
4.1,J_4_1,J4_1,hydrology_hydraulics_union,typed_numeric_normalization,1.0
5,J_5,J005,hydrology_hydraulics_union,typed_numeric_normalization,1.0
6,J_6,J006,hydrology_hydraulics_union,typed_numeric_normalization,1.0
6.1,J_6_1,J6_1,hydrology_hydraulics_union,typed_numeric_normalization,1.0
7,J_7,J007,hydrology_hydraulics_union,typed_numeric_normalization,1.0
7.1,J_7_1,J7_1,hydrology_hydraulics_union,typed_numeric_normalization,1.0
8,J_8,J008,hydrology_hydraulics_union,typed_numeric_normalization,1.0
9,J_9,J009,hydrology_hydraulics_union,typed_numeric_normalization,1.0
11,J_11,J011,hydrology_hydraulics_union,typed_numeric_normalization,1.0
12,J_12,J012,hydrology_hydraulics_union,typed_numeric_normalization,1.0
13,J_13,J013,hydrology_hydraulics_union,typed_numeric_normalization,1.0
14,J_14,J014,hydrology_hydraulics_union,typed_numeric_normalization,1.0
15,J_15,J015,hydrology_hydraulics_union,typed_numeric_normalization,1.0
16,J_16,J016,hydrology_hydraulics_union,typed_numeric_normalization,1.0
17,J_17,J017,hydrology_hydraulics_union,typed_numeric_normalization,1.0
18,J_18,J018,hydrology_hydraulics_union,typed_numeric_normalization,1.0
19,J_19,J019,hydrology_hydraulics_union,typed_numeric_normalization,1.0
20,J_20,J020,hydrology_hydraulics_union,typed_numeric_normalization,1.0
21,J_21,J021,hydrology_hydraulics_union,typed_numeric_normalization,1.0
22,J_22,J022,hydrology_hydraulics_union,typed_numeric_normalization,1.0
23,J_23,J023,hydrology_hydraulics_union,typed_numeric_normalization,1.0
24,J_24,J024,hydrology_hydraulics_union,typed_numeric_normalization,1.0
25,J_25,J025,hydrology_hydraulics_union,typed_numeric_normalization,1.0
26,J_26,J026,hydrology_hydraulics_union,typed_numeric_normalization,1.0
26.1,J_26_1,J26_1,hydrology_hydraulics_union,typed_numeric_normalization,1.0
27,J_27,J027,hydrology_hydraulics_union,typed_numeric_normalization,1.0
27.1,J_27_1,J27_1,hydrology_hydraulics_union,typed_numeric_normalization,1.0
28,J_28,J028,hydrology_hydraulics_union,typed_numeric_normalization,1.0
29,J_29,J029,hydrology_hydraulics_union,typed_numeric_normalization,1.0
30,J_30,J030,hydrology_hydraulics_union,typed_numeric_normalization,1.0
31,J_31,J031,hydrology_hydraulics_union,typed_numeric_normalization,1.0
32,J_32,J032,hydrology_hydraulics_union,typed_numeric_normalization,1.0
33,J_33,J033,hydrology_hydraulics_union,typed_numeric_normalization,1.0
34,J_34,J034,hydrology_hydraulics_union,typed_numeric_normalization,1.0
35,J_35,J035,hydrology_hydraulics_union,typed_numeric_normalization,1.0
36,J_36,J036,hydrology_hydraulics_union,typed_numeric_normalization,1.0
37,J_37,J037,hydrology_hydraulics_union,typed_numeric_normalization,1.0
38,J_38,J038,hydrology_hydraulics_union,typed_numeric_normalization,1.0
39,J_39,J039,hydrology_hydraulics_union,typed_numeric_normalization,1.0
40,J_40,J040,hydrology_hydraulics_union,typed_numeric_normalization,1.0
41,J_41,J041,hydrology_hydraulics_union,typed_numeric_normalization,1.0
42,J_42,J042,hydrology_hydraulics_union,typed_numeric_normalization,1.0
43,J_43,J043,hydrology_hydraulics_union,typed_numeric_normalization,1.0
44,J_44,J044,hydrology_hydraulics_union,typed_numeric_normalization,1.0
45,J_45,J045,hydrology_hydraulics_union,typed_numeric_normalization,1.0
46,J_46,J046,hydrology_hydraulics_union,typed_numeric_normalization,1.0
47,J_47,J047,hydrology_hydraulics_union,typed_numeric_normalization,1.0
48,J_48,J048,hydrology_hydraulics_union,typed_numeric_normalization,1.0
49,J_49,J049,hydrology_hydraulics_union,typed_numeric_normalization,1.0
50,J_50,J050,hydrology_hydraulics_union,typed_numeric_normalization,1.0
51,J_51,J051,hydrology_hydraulics_union,typed_numeric_normalization,1.0
52,J_52,J052,hydrology_hydraulics_union,typed_numeric_normalization,1.0
53,J_53,J053,hydrology_hydraulics_union,typed_numeric_normalization,1.0
54,J_54,J054,hydrology_hydraulics_union,typed_numeric_normalization,1.0
55,J_55,J055,hydrology_hydraulics_union,typed_numeric_normalization,1.0
57,J_57,J057,hydrology_hydraulics_union,typed_numeric_normalization,1.0
61,J_61,J061,hydrology_hydraulics_union,typed_numeric_normalization,1.0
62,J_62,J062,hydrology_hydraulics_union,typed_numeric_normalization,1.0
63,J_63,J063,hydrology_hydraulics_union,typed_numeric_normalization,1.0
65,J_65,J065,hydrology_hydraulics_union,typed_numeric_normalization,1.0
65.1,J_65_1,J65_1,hydrology_hydraulics_union,typed_numeric_normalization,1.0
65.2,J_65_2,J65_2,hydrology_hydraulics_union,typed_numeric_normalization,1.0
65.25,J_65_25,J65_25,hydrology_hydraulics_union,typed_numeric_normalization,1.0
65.3,J_65_3,J65_3,hydrology_hydraulics_union,typed_numeric_normalization,1.0
68,J_68,J068,hydrology_hydraulics_union,typed_numeric_normalization,1.0
68.05,J_68_05,J68_05,hydrology_hydraulics_union,typed_numeric_normalization,1.0
