canonical_node_id,excel_id_raw,excel_id_norm,pdf_label_raw,pdf_label_norm,match_method,confidence,evidence,pdf_file,page,x,y
N_1680,106,106,168.0,1680,C_fuzzy_char_overlap,0.8,char_overlap=0.750,BX-FM_10-30-2025-Model.pdf,1,319.6902160644531,869.247802734375
N_10,103.4,1034,1.0,10,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,510.5,975.5
N_30,70.3,703,3.0,30,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,514.5,894.0
N_20,102.4,1024,2.0,20,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,510.5,955.5
N_60,106,106,6.0,60,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,464.0,918.5
N_50,,,5.0,50,,0.0,,BX-FM_10-30-2025-Model.pdf,1,433.5,938.5
N_40,103.4,1034,4.0,40,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,415.5,955.0
N_61,106,106,6.1,61,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,444.5,887.5
N_90,109.2,1092,9.0,90,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,400.5,872.5
N_70,70.3,703,7.0,70,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,399.5,906.0
N_71,27.1,271,7.1,71,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,421.5,899.0
N_80,108.3,1083,8.0,80,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,454.5,862.5
N_110,103.4,1034,11.0,110,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,387.5,856.5
N_120,102.4,1024,12.0,120,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,437.0,845.0
N_130,103.4,1034,13.0,130,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,423.5,821.0
N_160,160,160,16.0,160,A_exact_norm,0.98,excel_norm=160,BX-FM_10-30-2025-Model.pdf,1,491.5,800.5
N_170,27.1,271,17.0,170,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,448.5,805.5
N_180,108.3,1083,18.0,180,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,471.5,768.5
N_200,102.4,1024,20.0,200,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,431.5,785.0
N_210,102.4,1024,21.0,210,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,402.5,746.0
N_220,102.4,1024,22.0,220,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,408.5,796.0
N_240,102.4,1024,24.0,240,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,382.0,756.5
N_250,65.25,6525,25.0,250,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,392.0,805.0
N_230,70.3,703,23.0,230,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,414.5,774.0
N_190,109.2,1092,19.0,190,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,446.5,752.5
N_260,65.25,6525,26.0,260,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,371.5,783.5
N_290,109.2,1092,29.0,290,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,352.5,796.0
N_280,28,28,28.0,280,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,365.5,820.0
N_271,27.1,271,27.1,271,A_exact_norm,0.98,excel_norm=271,BX-FM_10-30-2025-Model.pdf,1,354.5,837.0
N_270,27.1,271,27.0,270,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,336.5,840.0
N_300,70.3,703,30.0,300,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,365.5,755.0
N_330,70.3,703,33.0,330,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,327.5,798.5
N_320,70.3,703,32.0,320,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,308.5,802.0
N_340,103.4,1034,34.0,340,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,313.5,769.0
N_350,70.3,703,35.0,350,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,348.5,747.5
N_380,108.3,1083,38.0,380,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,301.5,749.0
N_390,70.3,703,39.0,390,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,338.5,726.0
N_420,102.4,1024,42.0,420,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,332.5,709.5
N_410,103.4,1034,41.0,410,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,302.5,711.0
N_400,103.4,1034,40.0,400,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,272.5,742.0
N_430,103.4,1034,43.0,430,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,465.5,706.0
N_440,103.4,1034,44.0,440,C_fuzzy_char_overlap,0.9,char_overlap=1.000,BX-FM_10-30-2025-Model.pdf,1,429.5,710.0
N_460,103.4,1034,46.0,460,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,424.5,662.0
N_470,70.3,703,47.0,470,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,375.5,697.0
