"""c""",area,b_p,base,base_ca,col_1,col_10,col_11,col_12,col_14,col_15,col_16,col_2,col_3,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_5,col_6,col_7,col_8,col_9,description,dia,dist.,dn_strm,downstream_node,extraction_method,f_s,freebrd,headloss,hgl,hl,i,inlet,jct,jct_area,junction_type,keystroke,length,location,macro_or_dialog_box,mca,modules,name,pipe_id,q,r_g,slope,source_row,source_sheet,t_c,t_p,t_t,tc,upstream_node,userforms,vel,worksheet_formulas
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,0.0,hydraulics_structured_table,nan,nan,0.4146292301409596,nan,nan,nan,nan,nan,nan,OUTFALL,nan,236.0,nan,nan,nan,nan,nan,77-0,82.42653040842968,nan,0.0017569035175464393,11,HYDRAULICS,nan,nan,nan,nan,77.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,77.0,hydraulics_structured_table,nan,nan,0.7310432622073545,nan,nan,nan,nan,nan,nan,ANGLE POINT,nan,408.0,nan,nan,nan,nan,nan,75-77,83.24046949117403,nan,0.001791772701488614,14,HYDRAULICS,nan,nan,nan,nan,75.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,75.0,hydraulics_structured_table,nan,nan,1.806106883100523,nan,nan,nan,nan,nan,nan,ANGLE POINT,nan,1008.0,nan,nan,nan,nan,nan,74-75,83.24046949117403,nan,0.001791772701488614,17,HYDRAULICS,nan,nan,nan,nan,74.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,74.0,hydraulics_structured_table,nan,nan,0.8242154426847624,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,460.0,nan,nan,nan,nan,nan,72-74,83.24046949117403,nan,0.001791772701488614,20,HYDRAULICS,nan,nan,nan,nan,72.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,72.0,hydraulics_structured_table,nan,nan,0.0483778629401925,nan,nan,nan,nan,nan,nan,nan,nan,27.0,nan,nan,nan,nan,nan,71.9-72,83.24046949117403,nan,0.001791772701488614,22,HYDRAULICS,nan,nan,nan,nan,71.9,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,71.9,hydraulics_structured_table,nan,nan,0.5329800421013081,nan,nan,nan,nan,nan,nan,RIGHT ANGLE,nan,317.0,nan,nan,nan,nan,nan,71.1-71.9,80.63413019012404,nan,0.0016813250539473442,24,HYDRAULICS,nan,nan,nan,nan,71.1,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,71.1,hydraulics_structured_table,nan,nan,1.594597323264447,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,960.0,nan,nan,nan,nan,nan,71-71.1,80.14620484667437,nan,0.0016610388784004657,26,HYDRAULICS,nan,nan,nan,nan,71.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,71.0,hydraulics_structured_table,nan,nan,1.954946406799832,nan,nan,nan,nan,nan,nan,nan,nan,1195.0,nan,nan,nan,nan,nan,69-71,79.53834289434724,nan,0.001635938415732077,28,HYDRAULICS,nan,nan,nan,nan,69.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,69.0,hydraulics_structured_table,nan,nan,0.3218503608812109,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,209.0,nan,nan,nan,nan,nan,65.3-69,77.1697192748137,nan,0.0015399538798144064,30,HYDRAULICS,nan,nan,nan,nan,65.3,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,65.3,hydraulics_structured_table,nan,nan,0.2133343148010796,nan,nan,nan,nan,nan,nan,nan,nan,153.0,nan,nan,nan,nan,nan,65.1-65.3,73.43070645897349,nan,0.0013943419268044417,32,HYDRAULICS,nan,nan,nan,nan,65.1,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,65.1,hydraulics_structured_table,nan,nan,1.7809560186765203,nan,nan,nan,nan,nan,nan,RIGHT ANGLE,nan,1237.0,nan,nan,nan,nan,nan,65-65.1,74.61648913293364,nan,0.001439738091088537,34,HYDRAULICS,nan,nan,nan,nan,65.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.0,nan,nan,65.0,hydraulics_structured_table,nan,nan,0.3834713637262035,nan,nan,nan,nan,nan,nan,nan,nan,330.0,nan,nan,nan,nan,nan,63-65,67.03514641180801,nan,0.0011620344355339502,38,HYDRAULICS,nan,nan,nan,nan,63.0,nan,nan,nan
