area_ac,percent_impervious,slope_percent,source_row,source_sheet,tc_length_ft,width_ft
0.0,55.0,1.0,8,HYDROLOGY,200.0,10.0
0.4823,55.0,1.0,258,HYDROLOGY,200.0,210.095
0.3019,55.0,1.0,265,HYDROLOGY,200.0,131.513
0.1697,55.0,1.0,330,HYDROLOGY,200.0,73.924
0.0,55.0,1.0,419,HYDROLOGY,200.0,10.0
0.1197,55.0,1.0,431,HYDROLOGY,200.0,52.151
0.6438,55.0,1.0,441,HYDROLOGY,200.0,280.447
0.0,55.0,1.0,490,HYDROLOGY,200.0,10.0
0.089,55.0,1.0,499,HYDROLOGY,200.0,38.761
3.6766,55.0,1.0,591,HYDROLOGY,200.0,1601.529
5.0,55.0,1.0,652,HYDROLOGY,200.0,2178.0
5.0,55.0,1.0,660,HYDROLOGY,200.0,2178.0
0.0,55.0,1.0,687,HYDROLOGY,200.0,10.0
0.0,55.0,1.0,688,HYDROLOGY,200.0,10.0
0.0,55.0,1.0,19,DI TABLE,200.0,10.0
0.0,55.0,1.0,20,DI TABLE,200.0,10.0
0.0,55.0,1.0,21,DI TABLE,200.0,10.0
0.0,55.0,1.0,22,DI TABLE,200.0,10.0
0.0,55.0,1.0,23,DI TABLE,200.0,10.0
0.0,55.0,1.0,24,DI TABLE,200.0,10.0
0.0,55.0,1.0,25,DI TABLE,200.0,10.0
0.0,55.0,1.0,26,DI TABLE,200.0,10.0
0.0,55.0,1.0,27,DI TABLE,200.0,10.0
0.0,55.0,1.0,28,DI TABLE,200.0,10.0
0.0,55.0,1.0,29,DI TABLE,200.0,10.0
0.0,55.0,1.0,30,DI TABLE,200.0,10.0
0.0,55.0,1.0,31,DI TABLE,200.0,10.0
0.0,55.0,1.0,32,DI TABLE,200.0,10.0
0.0,55.0,1.0,33,DI TABLE,200.0,10.0
0.0,55.0,1.0,34,DI TABLE,200.0,10.0
0.0,55.0,1.0,35,DI TABLE,200.0,10.0
0.0,55.0,1.0,36,DI TABLE,200.0,10.0
0.0,55.0,1.0,37,DI TABLE,200.0,10.0
0.0,55.0,1.0,38,DI TABLE,200.0,10.0
0.0,55.0,1.0,39,DI TABLE,200.0,10.0
0.0,55.0,1.0,40,DI TABLE,200.0,10.0
0.0,55.0,1.0,41,DI TABLE,200.0,10.0
0.0,55.0,1.0,42,DI TABLE,200.0,10.0
0.0,55.0,1.0,43,DI TABLE,200.0,10.0
0.0,55.0,1.0,44,DI TABLE,200.0,10.0
0.0,55.0,1.0,45,DI TABLE,200.0,10.0
0.0,55.0,1.0,46,DI TABLE,200.0,10.0
0.0,55.0,1.0,47,DI TABLE,200.0,10.0
0.0,55.0,1.0,48,DI TABLE,200.0,10.0
0.0,55.0,1.0,50,DI TABLE,200.0,10.0
0.0,55.0,1.0,51,DI TABLE,200.0,10.0
