canonical_node_id,excel_id_raw,excel_id_norm,pdf_label_raw,pdf_label_norm,match_method,confidence,evidence,pdf_file,page,x,y,pdf_num,topology_hint,topology_score,revised_confidence
N_50,,,5.0,50,,0.0,,BX-FM_10-30-2025-Model.pdf,1,433.5,938.5,50,in_links,0.15,0.15
N_500,,,50.0,500,,0.0,,BX-FM_10-30-2025-Model.pdf,1,281.0,685.0,500,in_links,0.15,0.15
N_550,,,55.0,550,,0.0,,BX-FM_10-30-2025-Model.pdf,1,355.5,565.0,550,in_links,0.15,0.15
N_50,,,5.0,50,,0.0,,BX-FM_10-30-2025-Model.pdf,1,498.0,885.5,50,in_links,0.15,0.15
N_1570,,,157.0,1570,,0.0,,BX-FM_10-30-2025-Model.pdf,1,2.0,400.0,1570,in_links,0.15,0.15
N_1750,,,175.0,1750,,0.0,,BX-FM_10-30-2025-Model.pdf,1,169.5,347.0,1750,not_in_links,0.0,0.0
N_1770,27.1,271.0,177.0,1770,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,169.0,274.0,1770,not_in_links,0.0,0.767
N_500,,,50.0,500,,0.0,,BX-FM_10-30-2025-Model.pdf,1,329.0,682.0,500,in_links,0.15,0.15
N_521,27.1,271.0,52.1,521,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,328.0,629.0,521,not_in_links,0.0,0.767
N_550,,,55.0,550,,0.0,,BX-FM_10-30-2025-Model.pdf,1,312.0,609.0,550,in_links,0.15,0.15
N_560,65.25,6525.0,56.0,560,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,352.0,579.0,560,not_in_links,0.0,0.767
N_670,70.3,703.0,67.0,670,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,220.5,596.5,670,not_in_links,0.0,0.767
N_756,65.25,6525.0,75.6,756,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,205.0,509.0,756,not_in_links,0.0,0.767
N_755,,,75.5,755,,0.0,,BX-FM_10-30-2025-Model.pdf,1,208.0,489.5,755,not_in_links,0.0,0.0
N_754,45.0,45.0,75.4,754,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,247.5,508.0,754,not_in_links,0.0,0.767
N_753,70.3,703.0,75.3,753,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,247.0,490.0,753,not_in_links,0.0,0.767
N_751,27.1,271.0,75.1,751,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,274.0,514.0,751,not_in_links,0.0,0.767
N_752,27.1,271.0,75.2,752,C_fuzzy_char_overlap,0.767,char_overlap=0.667,BX-FM_10-30-2025-Model.pdf,1,264.0,525.5,752,not_in_links,0.0,0.767
