swmm_object_id,object_type,field_name,assumed_value,assumption_rule,source_context
J_36,node,invert,400.959436,junction_linear_interpolation_or_min_slope,HYDROLOGY row 105
J_55,node,invert,396.608304,junction_linear_interpolation_or_min_slope,HYDROLOGY row 151
J_65_2,node,invert,389.096742,junction_linear_interpolation_or_min_slope,HYDROLOGY row 171
J_65_25,node,invert,389.893477,junction_linear_interpolation_or_min_slope,HYDROLOGY row 173
J_65_3,node,invert,390.705618,junction_linear_interpolation_or_min_slope,HYDROLOGY row 174
J_68,node,invert,391.165611,junction_linear_interpolation_or_min_slope,HYDROLOGY row 178
J_68_05,node,invert,392.026173,junction_linear_interpolation_or_min_slope,HYDROLOGY row 179
J_71_2,node,invert,383.093184,junction_linear_interpolation_or_min_slope,HYDROLOGY row 206
J_71_3,node,invert,384.439143,junction_linear_interpolation_or_min_slope,HYDROLOGY row 209
J_71_4,node,invert,386.167143,junction_linear_interpolation_or_min_slope,HYDROLOGY row 210
O_77,outfall,invert,377.108,outfall_invert_from_terminal_min_slope,HYDROLOGY row 230
J_84,node,invert,398.500404,junction_linear_interpolation_or_min_slope,HYDROLOGY row 258
J_84_1,node,invert,399.634782,junction_linear_interpolation_or_min_slope,HYDROLOGY row 260
J_89,node,invert,394.811987,junction_linear_interpolation_or_min_slope,HYDROLOGY row 275
J_91,node,invert,395.375579,junction_linear_interpolation_or_min_slope,HYDROLOGY row 285
J_95_1,node,invert,386.226526,junction_linear_interpolation_or_min_slope,HYDROLOGY row 301
J_96_1,node,invert,379.85896,junction_linear_interpolation_or_min_slope,HYDROLOGY row 314
J_97,node,invert,379.793121,junction_linear_interpolation_or_min_slope,HYDROLOGY row 316
J_97_1,node,invert,379.756879,junction_linear_interpolation_or_min_slope,HYDROLOGY row 319
J_99,node,invert,379.488393,junction_linear_interpolation_or_min_slope,HYDROLOGY row 326
J_101,node,invert,379.478448,junction_linear_interpolation_or_min_slope,HYDROLOGY row 332
J_101_1,node,invert,379.609054,junction_linear_interpolation_or_min_slope,HYDROLOGY row 335
J_102,node,invert,379.967075,junction_linear_interpolation_or_min_slope,HYDROLOGY row 339
J_102_1,node,invert,379.985644,junction_linear_interpolation_or_min_slope,HYDROLOGY row 341
J_102_2,node,invert,379.993572,junction_linear_interpolation_or_min_slope,HYDROLOGY row 344
J_102_3,node,invert,380.004421,junction_linear_interpolation_or_min_slope,HYDROLOGY row 345
J_102_4,node,invert,380.122719,junction_linear_interpolation_or_min_slope,HYDROLOGY row 347
J_103,node,invert,380.188439,junction_linear_interpolation_or_min_slope,HYDROLOGY row 352
J_103_1,node,invert,380.383515,junction_linear_interpolation_or_min_slope,HYDROLOGY row 356
J_103_2,node,invert,380.398745,junction_linear_interpolation_or_min_slope,HYDROLOGY row 357
J_103_3,node,invert,380.421904,junction_linear_interpolation_or_min_slope,HYDROLOGY row 358
J_103_4,node,invert,380.442142,junction_linear_interpolation_or_min_slope,HYDROLOGY row 361
J_103_5,node,invert,380.465718,junction_linear_interpolation_or_min_slope,HYDROLOGY row 364
J_104,node,invert,380.506611,junction_linear_interpolation_or_min_slope,HYDROLOGY row 365
J_105,node,invert,380.607174,junction_linear_interpolation_or_min_slope,HYDROLOGY row 369
J_105_1,node,invert,380.617814,junction_linear_interpolation_or_min_slope,HYDROLOGY row 371
J_105_2,node,invert,380.715248,junction_linear_interpolation_or_min_slope,HYDROLOGY row 375
J_105_3,node,invert,380.723385,junction_linear_interpolation_or_min_slope,HYDROLOGY row 379
