swmm_conduit_id,excel_pipe_id,upstream_node,downstream_node,diameter_in,shape,length_ft,slope_ftft,invert_in_ft,invert_out_ft,losses,confidence,inferred_flag,notes
C001,,J077,OUT1,54.0,CIRCULAR,236.0,0.0017569035175464393,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C002,,J075,J077,54.0,CIRCULAR,408.0,0.001791772701488614,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C003,,J074,J075,54.0,CIRCULAR,1008.0,0.001791772701488614,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C004,,J072,J074,54.0,CIRCULAR,460.0,0.001791772701488614,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C005,,J071,J072,54.0,CIRCULAR,27.0,0.001791772701488614,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C006,,J071,J071,54.0,CIRCULAR,317.0,0.0016813250539473442,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C007,,J071,J071,54.0,CIRCULAR,960.0,0.0016610388784004657,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C008,,J069,J071,54.0,CIRCULAR,1195.0,0.001635938415732077,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C009,,J065,J069,54.0,CIRCULAR,209.0,0.0015399538798144064,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C010,,J065,J065,54.0,CIRCULAR,153.0,0.0013943419268044417,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C011,,J065,J065,54.0,CIRCULAR,1237.0,0.001439738091088537,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C012,,J063,J065,54.0,CIRCULAR,330.0,0.0011620344355339502,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C013,,J062,J063,54.0,CIRCULAR,619.0,0.0011592042033846512,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C014,,J057,J062,54.0,CIRCULAR,420.0,0.0009837976354571392,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C015,,J054,J057,54.0,CIRCULAR,45.0,0.0008875024644491314,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C016,,J053,J054,48.0,CIRCULAR,496.0,0.0015590310094561357,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C017,,J051,J053,48.0,CIRCULAR,538.0,0.0014126494111697662,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C018,,J042,J051,42.0,CIRCULAR,770.0,0.0017685399853861197,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C019,,J039,J042,36.0,CIRCULAR,106.0,0.0034910444431687344,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C020,,J037,J039,36.0,CIRCULAR,156.0,0.0033262796668604446,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C021,,J035,J037,36.0,CIRCULAR,439.0,0.0033212124184262217,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C022,,J031,J035,36.0,CIRCULAR,131.0,0.0029621965787080093,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C023,,J029,J031,36.0,CIRCULAR,512.0,0.0028856009582098677,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C024,,J015,J029,36.0,CIRCULAR,630.0,0.0008687173750689127,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C025,,J011,J015,30.0,CIRCULAR,50.0,0.0019433715137991228,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C026,,J009,J011,30.0,CIRCULAR,683.0,0.001867383928033987,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C027,,J007,J009,30.0,CIRCULAR,30.0,0.0016813647846426936,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C028,,J006,J007,30.0,CIRCULAR,32.0,0.0015501153000397107,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
