source_tab,source_row,basin_index,structure_type,source_id,swmm_id,receiving_junction_swmm_id,downstream_junction_swmm_id,required_fields_missing,required_fields_present,decision_class,recommended_fix
HYDROLOGY,105,1,junction,36,J_36,,J_37,AC,AA;S,MISSING_DATA,interpolate invert/rim
HYDROLOGY,151,1,junction,55,J_55,,J_57,AC,AA;S,MISSING_DATA,interpolate invert/rim
HYDROLOGY,171,1,junction,65.2,J_65_2,,J_65_25,AC,AA;S,MISSING_DATA,interpolate invert/rim
HYDROLOGY,173,1,junction,65.25,J_65_25,,J_65_3,AC,AA;S,MISSING_DATA,interpolate invert/rim
HYDROLOGY,174,1,junction,65.3,J_65_3,,J_68,AC,AA;S,MISSING_DATA,interpolate invert/rim
HYDROLOGY,178,1,junction,68,J_68,,J_68_05,AC,AA;S,MISSING_DATA,interpolate invert/rim
HYDROLOGY,179,1,junction,68.05,J_68_05,,J_68_1,AC,AA;S,MISSING_DATA,interpolate invert/rim
HYDROLOGY,206,1,junction,71.2,J_71_2,,J_71_3,AC,AA;S,MISSING_DATA,interpolate invert/rim
HYDROLOGY,209,1,junction,71.3,J_71_3,,J_71_4,AC,AA;S,MISSING_DATA,interpolate invert/rim
HYDROLOGY,210,1,junction,71.4,J_71_4,,J_71_5,AC,AA;S,MISSING_DATA,interpolate invert/rim
HYDROLOGY,11,1,inlet,1,IN_1,J_1,,DI_G;DI_H;DI_I,,MISSING_DATA,DI TABLE missing length/invert; apply min-slope
HYDROLOGY,152,1,inlet,57,IN_57,J_55,,,DI_G;DI_H;DI_I,MISSING_DATA,DI TABLE missing length/invert; apply min-slope
HYDROLOGY,172,1,inlet,75.25,IN_75_25,J_65_2,,,DI_G;DI_H;DI_I,MISSING_DATA,DI TABLE missing length/invert; apply min-slope
HYDROLOGY,176,1,inlet,75.3,IN_75_3,J_65_3,,,DI_G;DI_H;DI_I,MISSING_DATA,DI TABLE missing length/invert; apply min-slope
