swmm_node_id,excel_node_id,pdf_label,rim_elev,invert_elev,node_type,assigned_inflow_q_cfs,inflow_source,assigned_subcatchment_area_ac,assigned_subcatchment_width_ft,assigned_subcatchment_slope_pct,assigned_subcatchment_pct_imperv,missing_flag,derived_flag,notes,match_method,confidence
J001,84,,,,junction,2.411561031005961,HYDROLOGY/258,0.0,10.0,1.0,55.0,0,0,Derived mapping from rational row order; verify against plan labels,,
J002, ,5.0,,,junction,1.5095661163978311,HYDROLOGY/265,0.4823,210.095,1.0,55.0,0,1,Derived mapping from rational row order; verify against plan labels,,0.0
J003, ,5.0,,,junction,0.8485332595815052,HYDROLOGY/330,0.3019,131.513,1.0,55.0,0,1,Derived mapping from rational row order; verify against plan labels,,0.0
J004, ,5.0,,,junction,0.5986113120038645,HYDROLOGY/431,0.1697,73.924,1.0,55.0,0,1,Derived mapping from rational row order; verify against plan labels,,0.0
J005,116,,,,junction,3.219089144196915,HYDROLOGY/441,0.0,10.0,1.0,55.0,0,0,Derived mapping from rational row order; verify against plan labels,,
J006, ,5.0,,,junction,0.4449125273349908,HYDROLOGY/499,0.1197,52.151,1.0,55.0,0,1,Derived mapping from rational row order; verify against plan labels,,0.0
J007,159.1,159.1,,,junction,18.383019939001912,HYDROLOGY/591,0.6438,280.447,1.0,55.0,0,0,Derived mapping from rational row order; verify against plan labels,A_exact_norm,0.98
J008,180,,,,junction,66.41241444747949,HYDROLOGY/652,0.0,10.0,1.0,55.0,0,0,Derived mapping from rational row order; verify against plan labels,,
J009,182,,,,junction,68.46090203343142,HYDROLOGY/660,0.089,38.761,1.0,55.0,0,0,Derived mapping from rational row order; verify against plan labels,,
J011,,5.0,,,junction,,,3.6766,1601.529,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J012,,5.0,,,junction,,,5.0,2178.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J013,,5.0,,,junction,,,5.0,2178.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J014,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J015,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J016,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J017,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J018,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J019,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J020,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J021,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J022,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J023,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J024,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J025,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J026,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J027,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J028,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J029,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J030,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J031,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J032,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J033,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J034,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J035,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J036,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J037,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J038,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J039,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J040,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J041,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J042,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J043,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J044,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J045,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J046,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J047,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J048,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J049,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J050,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J051,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J052,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J053,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J054,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J055,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J057,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J061,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J062,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J063,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J065,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J068,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J069,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J070,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J071,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J072,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J074,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J075,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J076,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J077,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J078,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J079,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J080,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J081,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J082,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J083,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J084,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J085,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J086,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J087,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J088,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J089,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J090,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J091,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J092,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
J093,,5.0,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels,,0.0
